client77,"Low-energy LED lamps, Reusable water bottles, FSC-certified wooden furniture, Organic shampoo and conditioner, Practical guides for a more eco-friendly lifestyle"
client78,"Eco-friendly camping tents, Handmade soaps with natural ingredients"
client79,"Organic foods such as fruits, vegetables, and grains, Organic shampoo and conditioner"
client80,"Swimwear made from recycled fabrics, Jeans made from recycled materials, Handmade soaps with natural ingredients"
client81,"Ecological calendars and recycled paper products, Safe and durable climbing gear"
client82,"Organic cotton T-shirts, Solar panels for home installation"
client83,"Non-toxic non-stick cookware, Reusable water bottles"
client84,"Local and fair trade farm products, Ecological calendars and recycled paper products, Books on sustainability and environmental conservation"
client85,"Energy-efficient laptops, Handmade soaps with natural ingredients"
client86,"Rechargeable solar lanterns, Low-energy LED lamps"
client87,"Organic foods such as fruits, vegetables, and grains, Non-toxic non-stick cookware, Bamboo hairbrushes"
client88,"Rechargeable Bluetooth headphones, Local and fair trade farm products, Natural multi-purpose detergent, Healthy snacks free from artificial ingredients"
client89,"Bamboo toothbrush, Healthy snacks free from artificial ingredients"
cliente90,"Vegan leather bags, Rechargeable solar lanterns"
cliente91,"Safe and durable climbing equipment, Books on sustainability and environmental conservation, Rechargeable Bluetooth headphones, Low-energy LED lamps"
cliente92,"Swimwear made from recycled fabrics, Organic shampoo and conditioner, Eco-friendly camping tents, Non-toxic non-stick cookware"
cliente93,"Eco-friendly camping tents, Bamboo hairbrushes"
cliente94,"Natural multi-purpose detergent, Safe and durable climbing equipment, Handmade soaps with natural ingredients, Environmental documentary DVDs, Organic foods such as fruits, vegetables, and grains"
cliente95,"Sustainable backpacks made from recycled materials, Solar panels for home installation, Stainless steel cutlery sets"
cliente96,"Sustainable backpacks made from recycled materials, Low-energy LED lamps, Rechargeable solar lanterns"
cliente97,"Bamboo toothbrush, Rechargeable solar lanterns, Reusable water bottles, Organic shampoo and conditioner, Bamboo hairbrushes"
cliente98,"Practical guides for a more eco-friendly lifestyle, Bamboo toothbrush, Swimwear made from recycled fabrics, Educational materials for children about the environment, Bamboo hairbrushes"
cliente99,"Eco-friendly camping tents, Mineral makeup, Vegan leather bags, Sustainable backpacks made from recycled materials"
